SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
53-AA-0011,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Trinity
53-AA-0018,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Trinity
54-AA-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tulare
54-AA-0014,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Tulare
54-AA-0026,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Tulare
54-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tulare
54-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tulare
54-CR-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Tulare
55-AA-0006,Treatment Unit (in situ),Closed,Disposal,Solid Waste Facility,Tuolumne
56-AA-0008,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Ventura
56-CR-0011,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0038,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0049,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
56-CR-0057,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Ventura
57-AA-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Yolo
57-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Yolo
58-AA-0008,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Yuba
58-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Yuba
10-AA-0187,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
19-AK-5037,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
01-AA-0290,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Alameda
19-AA-1046,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
34-CR-5047,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
30-CR-0165,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Orange
19-CR-5519,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
24-AA-0029,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Merced
33-CR-0057,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
44-AA-0011,Agricultural Material Composting Operation,Closed,Composting,Solid Waste Operation,Santa Cruz
43-AN-0023,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Clara
19-AA-5545,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
11-CR-0014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Glenn
19-AA-5082,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AH-5001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AK-5008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
33-AA-0299,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Riverside
19-AA-5293,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
37-AB-0013,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,San Diego
19-AR-1224,Large Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
19-AA-1063,Sealed Containers Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
42-AA-0070,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Santa Barbara
49-AA-0392,Small Volume C&D Wood Debris Chipping and Grinding Operation,Active,Transfer/Processing,Solid Waste Operation,Sonoma
36-AA-0426,Chipping and Grinding Facility/Operation,Closed,Composting,Solid Waste Facility,San Bernardino
36-AA-0426,Green Material Composting Facility,Active,Composting,Solid Waste Facility,San Bernardino
56-AA-0147,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Ventura
33-CR-0059,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
42-CR-0072,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Santa Barbara
30-AB-0395,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Orange
10-AA-0201,Medium Volume In-Vessel Digestion Facility,Planned,In-Vessel Digestion,Solid Waste Facility,Fresno
10-AA-0201,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Fresno
10-AA-0201,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
