SWIS Number ,Activity,OperationalStatus,Category,Activity Classification,County
34-AA-0214,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sacramento
37-AA-0952,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
33-AA-0300,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
40-AA-0037,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,San Luis Obispo
19-AA-5304,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
10-AA-0192,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
19-AR-1228,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
27-AA-0109,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Monterey
19-AA-1064,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Los Angeles
27-AA-0110,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Monterey
36-AA-0425,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
49-AA-0393,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Sonoma
10-AA-0197,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Fresno
10-AA-0197,Composting Facility (Mixed),Planned,Composting,Solid Waste Facility,Fresno
19-AR-1229,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
40-AA-0042,Green Material Composting Operation,Active,Composting,Solid Waste Operation,San Luis Obispo
26-CR-0017,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Mono
32-CR-0030,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Plumas
43-AN-0029,Chipping and Grinding Facility/Operation,Closed,Composting,Solid Waste Facility,Santa Clara
10-AA-0210,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Fresno
19-AA-1091,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-1092,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-1096,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Los Angeles
19-AA-1099,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
10-AA-0217,Inert Debris Type A Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Fresno
19-AA-5758,Inert Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Los Angeles
30-AB-0403,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Orange
30-AB-0403,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Orange
19-AA-2000,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Los Angeles
19-AR-1235,Large Volume Transfer/Processing Facility,Inactive,Transfer/Processing,Solid Waste Facility,Los Angeles
49-AA-0399,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sonoma
30-AB-0412,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
48-AA-0091,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Solano
30-AB-0421,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0430,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
06-AA-0024,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Colusa
15-AA-0394,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Kern
21-AA-0059,Inert Debris Type A Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Marin
21-AA-0060,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Marin
50-AA-0041,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
50-AA-0042,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Stanislaus
36-AA-0453,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
01-AA-0301,Direct Transfer Facility,Active,Transfer/Processing,Solid Waste Facility,Alameda
24-AA-0038,Small Volume C&D Wood Debris Chipping and Grinding Operation,Active,Transfer/Processing,Solid Waste Operation,Merced
19-AA-1116,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Los Angeles
41-AA-0192,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,San Mateo
19-AR-1244,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
30-AB-0455,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
30-AB-0456,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
04-AA-0029,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Butte
33-AA-0326,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Riverside
15-CR-0107,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
33-AA-0332,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
36-AA-0469,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
43-AA-0035,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Santa Clara
33-AA-0337,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
33-AA-0338,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
19-AR-1251,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
07-AA-0064,Inert Debris Type A Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Contra Costa
33-AA-0350,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Riverside
35-AA-0029,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Benito
36-AA-0472,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Bernardino
10-AA-0225,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Fresno
49-CR-0041,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sonoma
07-AA-0068,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Contra Costa
53-AA-0037,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Trinity
23-AA-0049,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Mendocino
57-AA-0038,Medium Volume In-Vessel Digestion Facility,Active,In-Vessel Digestion,Solid Waste Facility,Yolo
13-AA-0115,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Imperial
19-AA-1132,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AR-1256,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
12-AA-0128,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
36-AA-0481,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
19-AA-1134,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Los Angeles
43-AA-0038,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Santa Clara
43-AA-0039,Treatment Unit (in situ),Active,Disposal,Solid Waste Facility,Santa Clara
23-AA-0050,Large Volume Transfer/Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,Mendocino
38-AA-0021,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,San Francisco
13-AA-0117,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Imperial
54-AA-0056,Agricultural Material Composting Operation,Planned,Composting,Solid Waste Operation,Tulare
19-AA-1141,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
40-AA-0049,Agricultural Material Composting Operation,Closed,Composting,Solid Waste Operation,San Luis Obispo
33-AA-0366,Inert Debris Engineered Fill Operation,Active,Disposal,Solid Waste Operation,Riverside
39-AA-0057,Green Material Composting Operation,Closed,Composting,Solid Waste Operation,San Joaquin
08-AA-0025,Limited Volume Transfer Operation,Closed,Transfer/Processing,Solid Waste Operation,Del Norte
31-CR-0027,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Placer
01-AA-0325,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Alameda
07-AA-0071,Medium Volume CDI Debris Processing Facility,Planned,Transfer/Processing,Solid Waste Facility,Contra Costa
46-AA-0008,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Sierra
24-AA-0043,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Merced
01-AA-0327,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Alameda
49-CR-0429,Solid Waste Disposal Site,Closing,Disposal,Solid Waste Disposal Site,Sonoma
37-AA-0995,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,San Diego
49-AA-0432,Emergency Transfer/Processing Operation,Inactive,Transfer/Processing,Solid Waste Operation,Sonoma
49-AA-0435,Emergency Transfer/Processing Operation,Inactive,Transfer/Processing,Solid Waste Operation,Sonoma
34-AA-0237,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sacramento
45-AA-0063,Inert Debris Type A and B Processing Facility,Inactive,Transfer/Processing,Solid Waste Facility,Shasta
19-AR-1268,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
01-CR-0055,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
19-AR-1271,Limited Volume Transfer Operation,Planned,Transfer/Processing,Solid Waste Operation,Los Angeles
58-AA-0033,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Yuba
28-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Napa
28-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Napa
36-AA-0506,Engineered Municipal Solid Waste Conversion,Planned,EMSW Conversion,Solid Waste Facility,San Bernardino
30-AB-0475,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Orange
12-AA-0132,Green Material Composting Operation,Active,Composting,Solid Waste Operation,Humboldt
48-AA-0097,Small Volume CDI Debris Processing Operation,Active,Transfer/Processing,Solid Waste Operation,Solano
19-CR-0836,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
30-AB-0477,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,Orange
01-AA-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-AA-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-AA-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-AA-0015,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
01-CR-0041,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Alameda
02-AA-0009,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Alpine
03-AA-0002,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Amador
04-AA-0008,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Butte
04-CR-0011,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Butte
05-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Calaveras
06-AA-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
06-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
06-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
06-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Colusa
07-AA-0041,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Contra Costa
07-AA-0045,Land Application,Closed,Disposal,Solid Waste Facility,Contra Costa
07-CR-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Contra Costa
07-CR-0027,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Contra Costa
08-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Del Norte
09-AA-0003,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,El Dorado
09-CR-0021,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,El Dorado
09-CR-0023,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,El Dorado
10-AA-0002,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Fresno
10-AA-0167,Land Application,Closed,Disposal,Solid Waste Facility,Fresno
10-CR-0019,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0024,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0026,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0058,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
10-CR-0060,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Fresno
11-AA-0019,Agricultural Material Composting Operation,Active,Composting,Solid Waste Operation,Glenn
11-CR-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Glenn
11-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Glenn
12-AA-0016,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
12-AA-0018,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
12-AA-0023,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
12-AA-0025,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Humboldt
12-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
12-CR-0039,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Humboldt
13-AA-0019,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Imperial
14-AA-0003,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Inyo
14-AA-0028,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
14-CR-0009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Inyo
15-AA-0055,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Kern
15-AA-0057,Green Material Composting Facility,Planned,Composting,Solid Waste Facility,Kern
15-AA-0057,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Kern
15-AA-0067,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Kern
15-AA-0278,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Kern
15-AA-0287,Composting Facility (Other),Active,Composting,Solid Waste Facility,Kern
15-AA-0325,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0012,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0039,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0044,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
15-CR-0081,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Kern
16-AA-0021,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Kings
16-AA-0023,Industrial Waste Codisposal Facility,Active,Disposal,Solid Waste Facility,Kings
17-CR-0001,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Lake
17-CR-0003,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Lake
18-AA-0024,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Lassen
18-CR-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Lassen
18-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Lassen
19-AA-0015,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Los Angeles
19-AA-0027,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-0052,Green Material Composting Facility,Planned,Composting,Solid Waste Facility,Los Angeles
19-AA-0052,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Los Angeles
19-AA-0054,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-0061,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Los Angeles
19-AA-0061,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
19-AA-0061,Composting Facility (Mixed),Active,Composting,Solid Waste Facility,Los Angeles
19-AA-0063,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Los Angeles
19-AA-0312,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-0314,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-0393,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-0398,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-0585,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-0802,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
19-AA-0804,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-0845,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Los Angeles
19-AA-0868,Inert Debris Engineered Fill Operation,Closed,Disposal,Solid Waste Operation,Los Angeles
19-AA-1036,Small Volume CDI Debris Processing Operation,Closed,Transfer/Processing,Solid Waste Operation,Los Angeles
19-AA-5058,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5073,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5203,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5205,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5256,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5292,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AA-5378,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AI-5007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AI-5009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AK-5018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-1019,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-5052,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-5068,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-5141,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-5316,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
19-AR-5501,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Los Angeles
20-AA-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Madera
20-AA-0013,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Madera
21-CR-0009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Marin
22-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Mariposa
22-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Mariposa
23-AA-0001,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Mendocino
23-AA-0024,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Mendocino
23-AA-0026,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Mendocino
23-AA-0028,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Mendocino
23-AA-0036,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Mendocino
23-AA-0038,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Mendocino
23-CR-0018,Wood Waste Disposal Site,Closed,Disposal,Solid Waste Facility,Mendocino
23-CR-0020,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Mendocino
24-CR-0023,Solid Waste Disposal Site,Clean Closed,Disposal,Solid Waste Disposal Site,Merced
25-AA-0002,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Modoc
25-AA-0007,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Modoc
25-AA-0009,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Modoc
26-AA-0001,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Mono
26-AA-0003,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Mono
26-AA-0010,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Mono
26-AA-0012,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Mono
27-AA-0007,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Monterey
27-AA-0009,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Monterey
27-AA-0016,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Monterey
27-AA-0018,Limited Volume Transfer Operation,Active,Transfer/Processing,Solid Waste Operation,Monterey
27-CR-0002,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Monterey
27-CR-0004,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Monterey
28-AA-0001,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Napa
28-AA-0003,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Napa
28-AA-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Napa
29-AA-0001,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Nevada
29-AA-0010,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Nevada
29-AA-0010,Chipping and Grinding Facility/Operation,Absorbed,Composting,Solid Waste Facility,Nevada
29-AA-0010,Small Volume CDI Debris Processing Operation,Absorbed,Transfer/Processing,Solid Waste Operation,Nevada
30-AB-0018,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Orange
30-AB-0366,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Orange
30-CR-0061,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Orange
30-CR-0063,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Orange
30-CR-0120,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Orange
31-AA-0210,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Placer
31-AA-0310,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Placer
31-AA-0530,Solid Waste Landfill,Closed,Disposal,Solid Waste Facility,Placer
31-AA-0601,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Placer
31-AA-0621,Medium Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Placer
31-CR-0015,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Placer
32-AA-0002,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Plumas
32-CR-0006,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Plumas
32-CR-0008,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Plumas
32-CR-0018,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Plumas
33-AA-0014,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-AA-0016,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Riverside
33-AA-0024,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-AA-0234,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Riverside
33-CR-0013,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
33-CR-0015,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Riverside
34-AA-0001,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,Sacramento
34-AA-0005,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,Sacramento
34-AA-0191,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Sacramento
34-AA-0191,Large Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sacramento
34-AA-0195,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,Sacramento
34-AA-0203,Green Material Composting Facility,Active,Composting,Solid Waste Facility,Sacramento
36-AA-0028,Solid Waste Disposal Site,Active,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0043,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0045,Solid Waste Landfill,Active,Disposal,Solid Waste Facility,San Bernardino
36-AA-0045,Medium Volume CDI Debris Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
36-AA-0045,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Bernardino
36-AA-0319,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-AA-0417,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Bernardino
36-AA-0417,Chipping and Grinding Facility/Operation,Active,Composting,Solid Waste Facility,San Bernardino
36-CR-0007,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0010,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0033,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0043,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
36-CR-0070,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Bernardino
37-AA-0027,Solid Waste Disposal Site,Closed,Disposal,Solid Waste Disposal Site,San Diego
37-AA-0103,Large Volume Transfer/Processing Facility,Closed,Transfer/Processing,Solid Waste Facility,San Diego
37-AA-0105,Large Volume Transfer/Processing Facility,Active,Transfer/Processing,Solid Waste Facility,San Diego
